sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jun 11, 2024 09:59:15

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
uart:uart                                                   	    1561(0)	      90(0)	    1609(0)	    21(0)	     0(0)	
 +UART_TX_INST:uart_tx                                      	     24(24)	       0(0)	     34(34)	     0(0)	     0(0)	
 +UART_RX_INST:uart_rx                                      	     26(26)	       0(0)	     51(51)	     0(0)	     0(0)	
 +edb_top_inst:edb_top                                      	 1511(1511)	     90(90)	 1524(1524)	   21(21)	     0(0)	
